
166.7.82.190	"10:20 am  Thursday February 4, 2016"	1	2014.05.01	"*_Johny_crow_mod_2_ "
166.6.157.82	"11:36 am  Wednesday August 31, 2016"	1	2014.05.01	"*_WALLOWA_OR_ "
166.6.157.82	"11:38 am  Wednesday August 31, 2016"	1	2014.05.01	"*_WALLOWA_OR_ "
166.5.207.57	"11:48 am  Wednesday August 31, 2016"	285	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"06:00 pm  Wednesday August 31, 2016"	289	2012.08.23	"Multiple_Climates"
166.5.207.57	"06:45 pm  Wednesday August 31, 2016"	10	2012.08.23	"*_Blue_Cut_Fire_North_ "
166.5.207.57	"08:37 pm  Wednesday August 31, 2016"	54	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.53	"09:06 pm  Wednesday August 31, 2016"	289	2012.08.23	"Multiple_Climates"
166.5.207.57	"09:17 pm  Wednesday August 31, 2016"	40	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"09:29 pm  Wednesday August 31, 2016"	16	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"09:36 pm  Wednesday August 31, 2016"	18	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"06:36 am  Thursday September 1, 2016"	27	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.53	"06:36 am  Thursday September 1, 2016"	7	2012.08.23	"*_BlueCut_South_( )_ "
166.5.207.57	"06:45 am  Thursday September 1, 2016"	10	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"06:51 am  Thursday September 1, 2016"	33	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.57	"06:55 am  Thursday September 1, 2016"	33	2012.08.23	"*_Blue_Cut_Fire_South_ "
166.5.207.53	"07:10 am  Thursday September 1, 2016"	44	2012.08.23	"*_BlueCut_North_( )_ "
166.6.250.171	"07:27 am  Thursday September 1, 2016"	4	2014.05.01	"*_WALLOWA_OR_Modified_ _ "
166.5.207.53	"07:28 am  Thursday September 1, 2016"	58	2012.08.23	"*_BlueCut_North_( )_ "
166.5.207.53	"07:37 am  Thursday September 1, 2016"	119	2012.08.23	"*_BlueCut_South_( )_ "
166.5.207.53	"07:57 am  Thursday September 1, 2016"	43	2012.08.23	"*_BlueCut_North_( )_ "
166.5.207.53	"08:07 am  Thursday September 1, 2016"	43	2012.08.23	"*_BlueCut_South_( )_ "
166.5.207.53	"08:20 am  Thursday September 1, 2016"	64	2012.08.23	"*_BlueCut_North_( )_ "
166.5.207.53	"08:29 am  Thursday September 1, 2016"	32	2012.08.23	"*_BlueCut_North_( )_ "
166.5.207.53	"08:39 am  Thursday September 1, 2016"	285	2012.08.23	"*_BlueCut_North_( )_ "
166.5.207.53	"10:30 am  Thursday September 1, 2016"	119	2012.08.23	"*_BlueCut_South_( )_ "
166.5.207.53	"10:34 am  Thursday September 1, 2016"	119	2012.08.23	"*_BlueCut_South_( )_ "
170.144.119.150	"05:41 pm  Saturday September 3, 2016"	150	2014.05.01	"*_Soberanes_Fire_ _ "
170.144.119.150	"06:49 pm  Saturday September 3, 2016"	150	2014.05.01	"*_Soberanes_Fire_ _ "
166.5.175.95	"04:08 pm  Sunday September 11, 2016"	165	2014.05.01	"*_Cedar_creekCA_ "
166.5.175.95	"04:14 pm  Sunday September 11, 2016"	165	2014.05.01	"*_Cedar_creekCA_ "
166.5.175.95	"04:44 pm  Sunday September 11, 2016"	165	2014.05.01	"*_Cedar_creekCA_ "
166.5.175.95	"02:50 pm  Monday September 12, 2016"	47	2014.05.01	"*_Cedar_creekCA_ "
166.5.175.95	"03:02 pm  Monday September 12, 2016"	47	2014.05.01	"*_Cedar_creekCA_ "
166.5.175.95	"09:41 pm  Monday September 12, 2016"	47	2014.05.01	"*_Cedar_creekCA_ "
173.27.190.227	"11:03 pm  Monday September 12, 2016"	27	2014.05.01	"*_KERN_RIVER_PH_3_CAcedar_ "
166.5.175.95	"06:55 am  Tuesday September 13, 2016"	90	2014.05.01	"*_Cedar_creekCA_ "
166.5.175.95	"07:31 am  Tuesday September 13, 2016"	9	2014.05.01	"*_Cedar_creekCA_ "
166.5.175.107	"03:41 pm  Tuesday September 13, 2016"	206	2014.05.01	"*_Cedar_Fire_2016_ "
158.68.192.160	"11:11 am  Thursday September 22, 2016"	351	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"11:12 am  Thursday September 22, 2016"	351	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"11:15 am  Thursday September 22, 2016"	351	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"11:26 am  Thursday September 22, 2016"	351	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"11:26 am  Thursday September 22, 2016"	2	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"11:31 am  Thursday September 22, 2016"	5	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"11:33 am  Thursday September 22, 2016"	2	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"11:36 am  Thursday September 22, 2016"	351	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"03:29 pm  Thursday September 22, 2016"	199	2014.05.01	"*_Gap_Fire_ "
158.68.192.160	"04:25 pm  Thursday September 22, 2016"	16	2014.05.01	"*_Gap_Fire_ "
166.2.12.97	"05:45 pm  Saturday September 24, 2016"	36	2014.05.01	"*_PRISM_Modified_DEADWOOD_DAM__ "
166.5.50.146	"01:32 pm  Sunday September 25, 2016"	73	2014.05.01	"*_Pony_Fire_ "
166.5.148.144	"11:31 am  Tuesday September 27, 2016"	84	2014.05.01	"*_Owens_River_Fire_ "
166.5.148.144	"11:32 am  Tuesday September 27, 2016"	84	2014.05.01	"*_Owens_River_Fire_ "
166.5.148.144	"12:04 pm  Tuesday September 27, 2016"	84	2014.05.01	"*_Owens_River_Fire_ "
166.5.148.144	"12:15 pm  Tuesday September 27, 2016"	84	2014.05.01	"*_Owens_River_Fire_ "
166.5.148.73	"12:48 pm  Tuesday September 27, 2016"	84	2014.05.01	"*_Owens_River_BAER_(y)_ "
166.5.148.144	"03:37 pm  Tuesday September 27, 2016"	84	2014.05.01	"*_OwensFire_Hi_ _ "
166.5.148.144	"07:34 pm  Tuesday September 27, 2016"	19	2014.05.01	"*_OwensFire_Hi_ _ "
166.5.148.144	"07:49 pm  Tuesday September 27, 2016"	19	2014.05.01	"*_OwensFire_Hi_ _ "
166.5.161.44	"04:14 pm  Monday October 10, 2016"	62	2012.08.23	"*_Crown_Fire_(SNF)_ "
166.5.161.44	"04:28 pm  Monday October 10, 2016"	62	2012.08.23	"*_Crown_Fire_(SNF)_ "
170.144.111.213	"11:09 am  Saturday October 15, 2016"	64	2014.05.01	"*_Loma_Fire_ "
170.144.99.138	"10:02 pm  Saturday October 15, 2016"	993	2014.05.01	"*_VAFB_Canyon_Fire_ "
170.144.99.138	"11:24 pm  Saturday October 15, 2016"	993	2014.05.01	"*_VAFB_Canyon_Fire_ "
170.144.111.244	"04:58 pm  Sunday October 16, 2016"	336	2014.05.01	"*_Soberanes_Fire_ "
170.144.111.244	"05:54 pm  Sunday October 16, 2016"	336	2014.05.01	"*_Soberanes_Fire_ "
170.144.123.174	"10:34 am  Saturday October 22, 2016"	97	2012.08.23	"*_Sacata_Fire_BAER_ "
170.144.123.174	"11:08 am  Saturday October 22, 2016"	97	2012.08.23	"*_Sacata_Fire_BAER_ "
170.144.123.174	"01:19 pm  Saturday October 22, 2016"	17	2012.08.23	"*_Crown_Fire_BAER_ "
170.144.123.174	"01:42 pm  Saturday October 22, 2016"	17	2012.08.23	"*_Crown_Fire_BAER_ "
166.5.28.217	"11:29 am  Tuesday October 25, 2016"	15	2014.05.01	"*_Emerald_Fire_CA_ "
166.5.28.217	"12:52 pm  Tuesday October 25, 2016"	11	2014.05.01	"*_Emerald_Fire_CA_ "
129.101.233.56	"10:17 am  Friday November 4, 2016"	48	2014.05.01	"*_SANDPOINT_EXP_STA_ID"
129.101.233.56	"12:14 pm  Monday November 7, 2016"	24	2014.05.01	"*_MOSCOW_U_OF_I_ID_MR_ "
166.2.22.160	"02:32 pm  Wednesday November 9, 2016"	3	2014.05.01	"*_FENN_RS_ID"
129.101.233.56	"12:19 pm  Friday November 11, 2016"	24	2014.05.01	"*_MOSCOW_U_OF_I_ID_MR_ "
166.7.82.168	"06:42 am  Thursday December 1, 2016"	5	2014.05.01	"*_Castles_1_ "
166.7.82.168	"06:44 am  Thursday December 1, 2016"	10	2014.05.01	"*_Castles_1_ "
166.7.82.168	"06:45 am  Thursday December 1, 2016"	10	2014.05.01	"*_Castles_1_ "
166.7.82.168	"06:52 am  Thursday December 1, 2016"	15	2014.05.01	"*_Castles_1_ "
166.7.82.168	"07:07 am  Thursday December 1, 2016"	15	2014.05.01	"*_Castles_1_ "
170.144.96.148	"09:59 am  Thursday December 8, 2016"	86	2014.05.01	"*_North_Carolina_Fires_ "
170.144.96.148	"10:46 am  Thursday December 8, 2016"	86	2014.05.01	"*_North_Carolina_Fires_ "
