166.2.22.221	"02:30 pm  Tuesday January 3, 2017"	"FENN RS ID + +"	  46.10	-115.55
170.144.233.108	"04:34 pm  Wednesday December 13, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"10:05 am  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"10:09 am  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"10:11 am  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"10:13 am  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"10:14 am  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"10:16 am  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"01:24 pm  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"01:33 pm  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"01:35 pm  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"01:37 pm  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"01:39 pm  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
170.144.226.40	"01:42 pm  Thursday December 14, 2017"	"LAKE ARROWHEAD CA"	  34.23	-117.18
