z166222-221.ip.fs.fed.us	01:04 am  Thursday January 1, 2009	my steve +	 LATT=  46.36 LONG= 113.94
157.128.243.14	07:15 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:17 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:18 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:20 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:41 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:43 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:44 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:45 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:12 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:13 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:14 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:18 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:20 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:21 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:21 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:23 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:23 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:25 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:26 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:30 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:31 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:32 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:34 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:36 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:37 pm  Friday March 6, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	00:01 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	00:02 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	00:04 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	00:05 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	00:06 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	00:08 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	00:10 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:11 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:12 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:13 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:15 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:16 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:16 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:17 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:19 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:19 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:20 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:21 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:23 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:24 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:25 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:26 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:26 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:27 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:28 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.100.139	00:30 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	01:20 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	01:22 am  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:32 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:34 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:35 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:44 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:48 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:49 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:51 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:52 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:53 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:55 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	07:56 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:30 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:32 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
157.128.243.14	08:33 pm  Saturday March 7, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
cpe-124-180-5-82.vic.bigpond.net.au	02:43 pm  Sunday March 8, 2009	Bunyip Fire Area +	 LATT= -38.10 LONG= 145.71
cpe-124-180-5-82.vic.bigpond.net.au	02:59 pm  Sunday March 8, 2009	Bunyip Fire Area +	 LATT= -38.10 LONG= 145.71
cpe-124-180-5-82.vic.bigpond.net.au	10:54 pm  Sunday March 8, 2009	Bunyip Fire Area +	 LATT= -38.10 LONG= 145.71
cpe-124-180-5-82.vic.bigpond.net.au	10:54 pm  Sunday March 8, 2009	Bunyip Fire Area +	 LATT= -38.10 LONG= 145.71
z166362-136.ip.fs.fed.us	02:31 pm  Monday March 9, 2009	Bunyip Fire Area +	 LATT= -38.10 LONG= 145.71
66.236.2.82.ptr.us.xo.net	08:58 pm  Monday March 9, 2009	Bitterroot Valley MT +	 LATT=  46.36 LONG=-113.94
66.236.2.82.ptr.us.xo.net	09:02 pm  Monday March 9, 2009	Bitterroot Valley MT +	 LATT=  46.36 LONG=-113.94
66.236.2.82.ptr.us.xo.net	09:06 pm  Monday March 9, 2009	MOUNT SHASTA CA	 LATT=  41.32 LONG=-122.32
z1667122-100.ip.fs.fed.us	02:52 pm  Tuesday March 10, 2009	sweeny hills +	 LATT=  45.80 LONG= 115.50
blm-92-254.blm.gov	02:55 pm  Tuesday March 10, 2009	FENN RS ID +	 LATT=  45.80 LONG= 115.50
blm-92-254.blm.gov	02:58 pm  Tuesday March 10, 2009	FENN RS ID +	 LATT=  45.80 LONG= 115.50
blm-92-254.blm.gov	02:59 pm  Tuesday March 10, 2009	FENN RS ID +	 LATT=  45.80 LONG= 115.50
z1667122-100.ip.fs.fed.us	03:00 pm  Tuesday March 10, 2009	sweeny hills +	 LATT=  45.80 LONG= 115.50
z1667123-89.ip.fs.fed.us	03:02 pm  Tuesday March 10, 2009	Sweeney Hills +	 LATT=  45.80 LONG= 115.50
z1667122-32.ip.fs.fed.us	03:02 pm  Tuesday March 10, 2009	Sweeny Hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-83.ip.fs.fed.us	03:02 pm  Tuesday March 10, 2009	Sweeny Hills ID +	 LATT=  45.80 LONG= 115.50
z1667122-90.ip.fs.fed.us	03:02 pm  Tuesday March 10, 2009	Sweeny Hills +	 LATT=  45.80 LONG= 115.50
z1667123-72.ip.fs.fed.us	03:04 pm  Tuesday March 10, 2009	Sweeny Hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-76.ip.fs.fed.us	03:04 pm  Tuesday March 10, 2009	sweeney hills +	 LATT=  46.10 LONG=-115.55
z1667122-194.ip.fs.fed.us	03:05 pm  Tuesday March 10, 2009	sweeny hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-89.ip.fs.fed.us	03:04 pm  Tuesday March 10, 2009	Sweeney Hills +	 LATT=  45.80 LONG= 115.50
z1667123-38.ip.fs.fed.us	03:04 pm  Tuesday March 10, 2009	Sweeney Hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-79.ip.fs.fed.us	03:06 pm  Tuesday March 10, 2009	Sweeney Hills ID +	 LATT=  45.80 LONG= 115.50
z1667122-90.ip.fs.fed.us	03:08 pm  Tuesday March 10, 2009	Sweeny Hills +	 LATT=  45.80 LONG= 115.50
z1667123-72.ip.fs.fed.us	03:11 pm  Tuesday March 10, 2009	Sweeny Hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-83.ip.fs.fed.us	03:10 pm  Tuesday March 10, 2009	Sweeny Hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-89.ip.fs.fed.us	03:11 pm  Tuesday March 10, 2009	Sweeney Hills +	 LATT=  45.80 LONG= 115.50
z1667123-76.ip.fs.fed.us	03:12 pm  Tuesday March 10, 2009	sweeney hills +	 LATT=  46.10 LONG=-115.55
z1667123-38.ip.fs.fed.us	03:12 pm  Tuesday March 10, 2009	Sweeney Hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-72.ip.fs.fed.us	03:12 pm  Tuesday March 10, 2009	Sweeny Hills ID +	 LATT=  45.80 LONG= 115.50
z1667122-194.ip.fs.fed.us	03:13 pm  Tuesday March 10, 2009	sweeny hills ID +	 LATT=  45.80 LONG= 115.50
z1667123-83.ip.fs.fed.us	03:13 pm  Tuesday March 10, 2009	Sweeny Hills ID +	 LATT=  45.80 LONG= 115.50
z1667122-194.ip.fs.fed.us	03:23 pm  Tuesday March 10, 2009	sweeny hills ID +	 LATT=  45.80 LONG= 115.50
z166269-98.ip.fs.fed.us	04:32 pm  Tuesday March 10, 2009	FISHLAKE UT +	 LATT=  38.48 LONG= 112.00
z166269-98.ip.fs.fed.us	04:35 pm  Tuesday March 10, 2009	FISHLAKE UT +	 LATT=  38.48 LONG= 112.00
157.128.244.114	04:23 pm  Wednesday March 11, 2009	Delburn Fire Area AU + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	04:36 pm  Wednesday March 11, 2009	Delburn Fire Area AU + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	06:49 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	07:11 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	07:13 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:26 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:29 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:30 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:32 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:34 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:35 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:36 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:40 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:42 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:43 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:45 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:48 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:49 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:51 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:52 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:54 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:55 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:56 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:58 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	08:59 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:01 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:02 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:03 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:05 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:07 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:09 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:10 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:12 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:13 pm  Wednesday March 11, 2009	Delburn Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:13 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:14 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:17 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:19 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:20 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.244.114	09:21 pm  Wednesday March 11, 2009	Thomson Fire Area AU + + +	 LATT= -37.83 LONG= 145.00
157.128.243.158	09:22 pm  Thursday March 12, 2009	Bunyip Fire Area +	 LATT= -38.10 LONG= 145.71
ars.usda.gov	01:29 pm  Friday March 13, 2009	MOSCOW U OF I ID	 LATT=  46.73 LONG=-117.00
z1666175-26.ip.fs.fed.us	03:33 pm  Monday March 16, 2009	chumstick +	 LATT=  47.42 LONG=-120.32
z166769-66.ip.fs.fed.us	07:00 am  Tuesday March 17, 2009	DIVIDE 2 NW MT +	 LATT=  45.77 LONG=-112.78
w216116.ccupm.upm.es	09:34 am  Wednesday March 18, 2009	SEXTON SUMMIT WB OR	 LATT=  42.62 LONG=-123.37
z166222-158.ip.fs.fed.us	03:52 pm  Wednesday March 18, 2009	Mica Creek ID +	 LATT=  47.10 LONG= 116.28
z166222-158.ip.fs.fed.us	03:54 pm  Wednesday March 18, 2009	Waugh Ck, MT +	 LATT=  45.91 LONG= 114.03
z166222-158.ip.fs.fed.us	03:59 pm  Wednesday March 18, 2009	Waugh Ck, MT +	 LATT=  45.91 LONG= 114.03
65-23-196-46.prtc.net	02:57 pm  Thursday March 19, 2009	COROZAL 4 W PR	 LATT=  18.33 LONG= -66.37
z166269-98.ip.fs.fed.us	08:27 pm  Thursday March 19, 2009	FISHLAKE UT +	 LATT=  38.48 LONG= 112.00
z166269-98.ip.fs.fed.us	08:40 pm  Thursday March 19, 2009	FISHLAKE UT +	 LATT=  38.48 LONG= 112.00
z166269-98.ip.fs.fed.us	08:42 pm  Thursday March 19, 2009	FISHLAKE UT +	 LATT=  38.48 LONG= 112.00
cpe-121-222-151-250.qld.bigpond.net.au	02:15 am  Friday March 20, 2009	Kinglake2 AU + + + +	 LATT= -38.10 LONG= 145.71
cpe-121-222-151-250.qld.bigpond.net.au	02:22 am  Friday March 20, 2009	Kinglake2 AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:06 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:09 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:13 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:15 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:24 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:40 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:43 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:48 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:52 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	01:54 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	02:02 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	02:05 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	02:08 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	02:23 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	02:28 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	02:30 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	02:40 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:05 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:09 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:16 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:18 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:20 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:22 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:25 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:26 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:33 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:33 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:35 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:37 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:50 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:51 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:53 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:56 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	04:59 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:03 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:05 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:07 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:10 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:14 pm  Friday March 20, 2009	OShannassy  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:42 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:46 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:49 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:50 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:52 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:53 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	05:58 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	06:00 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	06:03 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	06:05 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	06:07 pm  Friday March 20, 2009	Eildon AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	09:31 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.28.116.1	09:32 pm  Friday March 20, 2009	Kinglake  AU + + + +	 LATT= -38.10 LONG= 145.71
203.153.201.158	11:33 pm  Sunday March 22, 2009	Kilmore East  AU + + +	 LATT= -38.10 LONG= 145.71
ars.usda.gov	10:12 am  Monday March 23, 2009	MOSCOW U OF I ID	 LATT=  46.73 LONG=-117.00
z166549-206.ip.fs.fed.us	12:55 pm  Monday March 23, 2009	HAPPY CAMP RS CA	 LATT=  41.80 LONG=-123.38
blm-92-254.blm.gov	11:47 am  Friday March 27, 2009	Lime_Ruby_MT +	 LATT=  47.14 LONG= 109.31
blm-92-254.blm.gov	11:50 am  Friday March 27, 2009	Lime_Ruby_MT +	 LATT=  47.14 LONG= 109.31
203.28.116.1	11:06 pm  Saturday March 28, 2009	Cathedral Fire_Wilsons_Prom +	 LATT= -38.10 LONG= 145.71
203.28.116.1	11:24 pm  Saturday March 28, 2009	Cathedral Fire_Wilsons_Prom +	 LATT= -38.10 LONG= 145.71
203.28.116.1	11:28 pm  Saturday March 28, 2009	Cathedral Fire_Wilsons_Prom +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	02:56 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:01 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:06 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:08 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:09 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:11 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:14 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:16 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:20 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:22 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
cpe-60-228-80-136.qld.bigpond.net.au	03:24 am  Sunday March 29, 2009	cathedral_au +	 LATT= -38.10 LONG= 145.71
